,sentence,rhetoric
"It was the best of times, it was the worst of times."" - Charles Dickens, A Tale of Two Cities",Antithesis,Antithesis
"Love is an ideal thing, marriage a real thing."" - Johann Wolfgang von Goethe",Antithesis,Antithesis
"Not that I loved Caesar less, but that I loved Rome more."" - William Shakespeare",Antithesis,Antithesis
"Speech is silver, but silence is gold."" - Unknown",Antithesis,Antithesis
"One small step for man, one giant leap for mankind."" - Neil Armstrong",Antithesis,Antithesis
"Darkness cannot drive out darkness; only light can do that."" - Martin Luther King Jr.",Antithesis,Antithesis
"She is my sunshine and my rain."" - Unknown",Antithesis,Antithesis
"Bittersweet"" - Unknown",Antithesis,Antithesis
"Success is not final, failure is not fatal."" - Winston Churchill",Antithesis,Antithesis
"Fall seven times, stand up eight."" - Japanese Proverb",Antithesis,Antithesis
"It was the best of times, it was the worst of times."" - Charles Dickens",Antithesis,Antithesis
"Love is an ideal thing, marriage a real thing; a confusion of the real with the ideal never goes unpunished."" - Johann Wolfgang von Goethe",Antithesis,Antithesis
"That's one small step for a man, one giant leap for mankind."" - Neil Armstrong (antithesis with the article ""a"")",Antithesis,Antithesis
"You are easy on the eyes, but hard on the heart."" - Unknown",Antithesis,Antithesis
"Fair is foul, and foul is fair."" - William Shakespeare",Antithesis,Antithesis
"To err is human; to forgive divine."" - Alexander Pope",Antithesis,Antithesis
"Speech is silver, but silence is golden."" - Unknown",Antithesis,Antithesis
"It was the age of wisdom, it was the age of foolishness."" - Charles Dickens",Antithesis,Antithesis
"Easy come, easy go.",Antithesis,Antithesis
"To err is human, to forgive divine."" - Alexander Pope",Antithesis,Antithesis
"Float like a butterfly, sting like a bee."" - Muhammad Ali",Antithesis,Antithesis
"Give me liberty, or give me death."" - Patrick Henry",Antithesis,Antithesis
"We must learn to live together as brothers or perish together as fools."" - Martin Luther King Jr.",Antithesis,Antithesis
"Money is the root of all evil, but it is also the source of all good.",Antithesis,Antithesis
"Man proposes, God disposes."" - Unknown",Antithesis,Antithesis
"We must all learn to live together as brothers or we will all perish together as fools."" - Martin Luther King Jr.",Antithesis,Antithesis
"Happiness is not the absence of problems, it's the ability to deal with them."" - Unknown",Antithesis,Antithesis
"Love and hate are two sides of the same coin."" - Unknown",Antithesis,Antithesis
"The pen is mightier than the sword."" - Edward Bulwer-Lytton",Antithesis,Antithesis
"We must accept finite disappointment, but never lose infinite hope."" - Martin Luther King Jr.",Antithesis,Antithesis
"To be, or not to be"" - William Shakespeare",Antithesis,Antithesis
"It was the best of times, it was the worst of times.",Antithesis,Antithesis
"Love is an ideal thing, marriage a real thing.",Antithesis,Antithesis
"Speech is silver, but silence is gold.",Antithesis,Antithesis
"To err is human, to forgive divine.",Antithesis,Antithesis
Better to reign in hell than serve in heaven.,Antithesis,Antithesis
"Man proposes, God disposes.",Antithesis,Antithesis
"Ask not what your country can do for you, ask what you can do for your country.",Antithesis,Antithesis
The weak can never forgive. Forgiveness is the attribute of the strong.,Antithesis,Antithesis
"Give me liberty, or give me death.",Antithesis,Antithesis
"One small step for man, one giant leap for mankind.",Antithesis,Antithesis
"Too black for heaven, and yet too white for hell."" - James Baldwin",Antithesis,Antithesis
"Better late than never, but never late is better."" - Drake",Antithesis,Antithesis
"You have the body of a god, but the face of a devil."" - Unknown",Antithesis,Antithesis
"It was the moment of truth, and now it's nothing but a memory."" - Taylor Swift",Antithesis,Antithesis
"Happiness is not the absence of problems, but the ability to deal with them."" - Steve Maraboli",Antithesis,Antithesis
"The extremists on both sides are equally dangerous."" - Mahatma Gandhi",Antithesis,Antithesis
"You have your mother's brains and your father's temper."" - J.K. Rowling",Antithesis,Antithesis
"She was strong yet fragile, confident yet insecure.",Antithesis,Antithesis
"Man proposes, God disposes."" - Thomas à Kempis",Antithesis,Antithesis
"What you see is not always what you get, and what you get is not always what you see.",Antithesis,Antithesis
"Give a man a fish, and you feed him for a day; teach a man to fish, and you feed him for a lifetime.",Antithesis,Antithesis
"Life can be joyful and full of sorrow, all at the same time.",Antithesis,Antithesis
"Success is not final, failure is not fatal: it is the courage to continue that counts."" - Winston Churchill",Antithesis,Antithesis
"The good life is not one devoid of problems, but one that has found a way to deal with these problems.",Antithesis,Antithesis
"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness."" - Charles Dickens",Antithesis,Antithesis
"Love is an irresistible desire to be irresistibly desired."" - Robert Frost",Antithesis,Antithesis
"It was the moment of truth, it was the moment of betrayal."" - George Orwell",Antithesis,Antithesis
"The road to hell is paved with good intentions."" - Samuel Johnson",Antithesis,Antithesis
"We were promised sufferings, they were part of the program. We were even told, 'Blessed are they that mourn,' and I accept it. I've got nothing that I hadn't bargained for. Of course it is different when the thing happens to oneself, not to others, and in reality, not imagination."" - C.S. Lewis",Antithesis,Antithesis
"It was the age of information, it was the age of ignorance."" - Unknown",Antithesis,Antithesis
"I am dedicated to compromise, so long as it comes out my way."" - Patrick Buchanan",Antithesis,Antithesis
"Man proposes, God disposes."" - Thomas a Kempis",Antithesis,Antithesis
"Ask not what your country can do for you, ask what you can do for your country."" - John F. Kennedy",Antithesis,Antithesis
"It can't rain all the time, the sun must shine eventually."" - James O'Barr",Antithesis,Antithesis
"To be, or not to be, that is the question."" - William Shakespeare",Antithesis,Antithesis
"The weak can never forgive. Forgiveness is the attribute of the strong."" - Mahatma Gandhi",Antithesis,Antithesis
"Injustice anywhere is a threat to justice everywhere."" - Martin Luther King Jr.",Antithesis,Antithesis
"To err is human, to forgive is divine.",Antithesis,Antithesis
"Not that I loved Caesar less, but that I loved Rome more.",Antithesis,Antithesis
"Everything has beauty, but not everyone sees it.",Antithesis,Antithesis
"Money is the root of all evil, but also the key to happiness.",Antithesis,Antithesis
"Float like a butterfly, sting like a bee.",Antithesis,Antithesis
"When life gives you lemons, make lemonade.",Antithesis,Antithesis
"High tide and low tide, the constant ebb and flow of the ocean.",Antithesis,Antithesis
"Though I may be as gentle as a lamb, I have the heart of a lion.",Antithesis,Antithesis
"Ask not what your country can do for you, but what you can do for your country."" - John F. Kennedy",Antithesis,Antithesis
Fools rush in where angels fear to tread.,Antithesis,Antithesis
"Art is long, life is short.",Antithesis,Antithesis
Give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime.,Antithesis,Antithesis
"It was the moment of truth, where lies were no longer acceptable.",Antithesis,Antithesis
"Happiness is like a butterfly which, when pursued, is always beyond our grasp, but which if you will sit down quietly, may alight upon you."" - Nathaniel Hawthorne",Antithesis,Antithesis
"It was the best of times, it was the worst of times"" - Charles Dickens",Antithesis,Antithesis
"Man proposes, God disposes"" - Thomas à Kempis",Antithesis,Antithesis
"Love is an ideal thing, marriage a real thing"" - Johann Wolfgang von Goethe",Antithesis,Antithesis
"Honor is not the exclusive property of any political party"" - Herbert Hoover",Antithesis,Antithesis
"Give me liberty, or give me death"" - Patrick Henry",Antithesis,Antithesis
"I am small and weak, but my thoughts are great and my ambition is high"" - Anne Frank",Antithesis,Antithesis
"It takes courage to grow up and become who you really are"" - E.E. Cummings",Antithesis,Antithesis
"To err is human, to forgive divine"" - Alexander Pope",Antithesis,Antithesis
"Not all those who wander are lost"" - J.R.R. Tolkien",Antithesis,Antithesis
"Faith sees best in the dark"" - Søren Kierkegaard",Antithesis,Antithesis
"Love is an irresistible force, while hate is an immovable object.",Antithesis,Antithesis
"Not that I loved Caesar less, but that I loved Rome more."" - Shakespeare",Antithesis,Antithesis
"You can't teach an old dog new tricks, but you can always teach a new puppy.",Antithesis,Antithesis
The pen is mightier than the sword.,Antithesis,Antithesis
"When the going gets tough, the tough get going.",Antithesis,Antithesis
"Beauty may be skin deep, but ugly goes straight to the bone.",Antithesis,Antithesis
"They call it the American Dream because you have to be asleep to believe it."" - George Carlin",Antithesis,Antithesis
We must learn to live together as brothers or perish together as fools.,Antithesis,Antithesis
"The world is full of lonely souls, yet no one is ever truly alone.",Antithesis,Antithesis
Hatred can rot a person's wisdom and insight.,Antithesis,Antithesis
It is often in the darkest skies that we see the brightest stars.,Antithesis,Antithesis
"We must stand together if we are to survive, or fall separately into ruin.",Antithesis,Antithesis
"The oppressed often become the oppressors, as the oppressed become the oppressors.",Antithesis,Antithesis
"Always low prices, always high quality."" - Walmart slogan",Antithesis,Antithesis
"To err is human, to forgive is divine."" - Alexander Pope",Antithesis,Antithesis
"Heroes get remembered, but legends never die."" - Babe Ruth",Antithesis,Antithesis
"Sweet are the uses of adversity, which, like a toad, ugly and venomous, wears yet a precious jewel in his head."" - William Shakespeare, As You Like It",Antithesis,Antithesis
"That's one small step for a man, one giant leap for mankind."" - Neil Armstrong",Antithesis,Antithesis
"It was the beginning of the end, or the end of the beginning.",Antithesis,Antithesis
He is wise in his folly and foolish in his wisdom.,Antithesis,Antithesis
"Love is an irresistible sensation, but hate is an impenetrable barrier.",Antithesis,Antithesis
The silence screamed louder than the chaos.,Antithesis,Antithesis
"We must all learn to dance in the rain, but sometimes we also need to find shelter.",Antithesis,Antithesis
The darkness of the night is nothing compared to the brightness of the stars.,Antithesis,Antithesis
"Life is a journey of joy and sorrow, a mix of laughter and tears.",Antithesis,Antithesis
Forgiveness is the key to unlocking the chains of anger and bitterness.,Antithesis,Antithesis
"Great leaders inspire with their words, while tyrants enslave with their power.",Antithesis,Antithesis
Success requires both talent and hard work; one cannot thrive without the other.,Antithesis,Antithesis
"To err is human; to forgive, divine.",Antithesis,Antithesis
She is both the beauty and the beast.,Antithesis,Antithesis
Love and hate are two sides of the same coin.,Antithesis,Antithesis
People are inherently good and inherently evil.,Antithesis,Antithesis
"You can't teach an old dog new tricks, but you can teach a young dog anything.",Antithesis,Antithesis
Too much of a good thing can be a bad thing.,Antithesis,Antithesis
"Life is short, but it feels long when you're unhappy.",Antithesis,Antithesis
"There is no darkness without light, and no light without darkness.",Antithesis,Antithesis
"To err is human; to forgive, divine."" - Alexander Pope",Antithesis,Antithesis
"Money can't buy happiness, but poverty can't buy anything."" - Unknown",Antithesis,Antithesis
"War is peace, freedom is slavery, ignorance is strength."" - George Orwell",Antithesis,Antithesis
"It takes a village to raise a child, but it only takes one person to destroy it."" - Unknown",Antithesis,Antithesis
"Better to have loved and lost, than to never have loved at all."" - Alfred Lord Tennyson",Antithesis,Antithesis
"Love is an irresistible force, hate is an immovable object.",Antithesis,Antithesis
Foolishness is wisdom in the eyes of a fool.,Antithesis,Antithesis
"Patience is bitter, but its fruit is sweet.",Antithesis,Antithesis
