,sentence,rhetoric
Early bird gets the worm.,Aphorism,Aphorism
Too much of a good thing can be a bad thing.,Aphorism,Aphorism
Actions speak louder than words.,Aphorism,Aphorism
"If you fail to plan, you are planning to fail.",Aphorism,Aphorism
A penny saved is a penny earned.,Aphorism,Aphorism
Don't judge a book by its cover.,Aphorism,Aphorism
You reap what you sow.,Aphorism,Aphorism
Honesty is the best policy.,Aphorism,Aphorism
Time heals all wounds.,Aphorism,Aphorism
All good things must come to an end.,Aphorism,Aphorism
Patience is a virtue.,Aphorism,Aphorism
The early bird catches the worm.,Aphorism,Aphorism
Knowledge is power.,Aphorism,Aphorism
There's no use crying over spilled milk.,Aphorism,Aphorism
The pen is mightier than the sword.,Aphorism,Aphorism
A stitch in time saves nine.,Aphorism,Aphorism
A watched pot never boils.,Aphorism,Aphorism
An apple a day keeps the doctor away.,Aphorism,Aphorism
"Life is like a box of chocolates, you never know what you're going to get.",Aphorism,Aphorism
Quality over quantity.,Aphorism,Aphorism
You can't judge a book by its cover.,Aphorism,Aphorism
The grass is always greener on the other side.,Aphorism,Aphorism
"When life gives you lemons, make lemonade.",Aphorism,Aphorism
Less is more.,Aphorism,Aphorism
All that glitters is not gold.,Aphorism,Aphorism
"Fool me once, shame on you. Fool me twice, shame on me.",Aphorism,Aphorism
Haste makes waste.,Aphorism,Aphorism
Those who do not learn from history are doomed to repeat it.,Aphorism,Aphorism
A rolling stone gathers no moss.,Aphorism,Aphorism
The early bird gets the worm.,Aphorism,Aphorism
"Where there's a will, there's a way.",Aphorism,Aphorism
Practice makes perfect.,Aphorism,Aphorism
Fortune favors the bold.,Aphorism,Aphorism
Don't count your chickens before they hatch.,Aphorism,Aphorism
"No pain, no gain.",Aphorism,Aphorism
It's better to be safe than sorry.,Aphorism,Aphorism
Curiosity killed the cat.,Aphorism,Aphorism
Slow and steady wins the race.,Aphorism,Aphorism
Better safe than sorry.,Aphorism,Aphorism
The squeaky wheel gets the grease.,Aphorism,Aphorism
"Hope for the best, prepare for the worst.",Aphorism,Aphorism
You can't have your cake and eat it too.,Aphorism,Aphorism
All's fair in love and war.,Aphorism,Aphorism
No man is an island unto himself.,Aphorism,Aphorism
Laughter is the best medicine.,Aphorism,Aphorism
"A wise man once said, 'Patience is bitter, but its fruit is sweet.'",Aphorism,Aphorism
"Life is a journey, not a destination.",Aphorism,Aphorism
Live and let live.,Aphorism,Aphorism
"To err is human, to forgive divine.",Aphorism,Aphorism
Too many cooks spoil the broth.,Aphorism,Aphorism
"If it ain't broke, don't fix it.",Aphorism,Aphorism
You catch more flies with honey than with vinegar.,Aphorism,Aphorism
Absence makes the heart grow fonder.,Aphorism,Aphorism
Never judge a book by its cover.,Aphorism,Aphorism
Better late than never.,Aphorism,Aphorism
"You can lead a horse to water, but you can't make it drink.",Aphorism,Aphorism
Rome wasn't built in a day.,Aphorism,Aphorism
A leopard can't change its spots.,Aphorism,Aphorism
All work and no play makes Jack a dull boy.,Aphorism,Aphorism
It's always darkest before the dawn.,Aphorism,Aphorism
One man's trash is another man's treasure.,Aphorism,Aphorism
Good things come to those who wait.,Aphorism,Aphorism
Don't cry over spilled milk.,Aphorism,Aphorism
"If at first you don't succeed, try, try again.",Aphorism,Aphorism
What doesn't kill you makes you stronger.,Aphorism,Aphorism
"If you want something done right, do it yourself.",Aphorism,Aphorism
"Where there is a will, there is a way.",Aphorism,Aphorism
"If life gives you lemons, make lemonade.",Aphorism,Aphorism
Experience is the best teacher.,Aphorism,Aphorism
